subject, session, target, StimLat, CurrentTask, TaskCondition, block, trial, LoadLevel, SetSize, ShownLocs, AllColors, ShownColors, ProbeMatch, ChosenProbeColor, CorrectProbeColor, ProbeLoc, probert, msecProbeRT, probeACC, response, error, matchCond
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 1, 4, 7, [1 2 3 4 5 6 7], [1 41 81 121 161 201 241 281 320], [161 81 320 201 121 281 241], 2, 4, 201, 1, 7.473725e-01, 747, 1, d, NA, lure
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 2, 2, 3, [5 6 7], [1 41 81 121 161 201 241 281 320], [281 41 1], 2, 2, 41, 7, 4.841694e-01, 484, 1, d, NA, lure
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 3, 1, 1, 7, [1 41 81 121 161 201 241 281 320], 41, 1, 1, 41, 7, 3.733297e-01, 373, 1, s, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 4, 4, 7, [1 2 3 4 5 6 7], [1 41 81 121 161 201 241 281 320], [241 81 161 121 41 1 320], 1, 1, 241, 1, 7.274295e-01, 727, 1, s, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 5, 1, 1, 7, [1 41 81 121 161 201 241 281 320], 81, 1, 1, 81, 7, 4.806504e-01, 481, 1, s, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 6, 1, 1, 1, [1 41 81 121 161 201 241 281 320], 241, 1, 1, 241, 1, 6.585984e-01, 659, 1, s, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 7, 3, 5, [1 2 3 4 5], [1 41 81 121 161 201 241 281 320], [241 81 281 41 161], 2, 2, 81, 5, 6.756881e-01, 676, 1, d, NA, lure
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 8, 3, 5, [4 5 6 7 8], [1 41 81 121 161 201 241 281 320], [121 1 41 241 81], 1, 1, 121, 4, 1.228977e+00, 1229, 1, s, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 9, 1, 1, 3, [1 41 81 121 161 201 241 281 320], 201, 2, 9, 161, 3, 7.095868e-01, 710, 1, d, NA, novel non-match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 10, 3, 5, [3 4 5 6 7], [1 41 81 121 161 201 241 281 320], [161 241 121 81 41], 1, 4, 81, 6, 7.434747e-01, 743, 0, d, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 11, 3, 5, [4 5 6 7 8], [1 41 81 121 161 201 241 281 320], [241 81 1 121 161], 2, 9, 41, 4, 8.009212e-01, 801, 1, d, NA, novel non-match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 12, 2, 3, [7 8 9], [1 41 81 121 161 201 241 281 320], [241 281 1], 2, 2, 281, 9, 8.098479e-01, 810, 1, d, NA, lure
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 13, 4, 7, [1 2 3 4 5 6 7], [1 41 81 121 161 201 241 281 320], [121 201 81 1 241 41 320], 1, 2, 201, 2, 9.068698e-01, 907, 0, d, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 14, 2, 3, [3 4 5], [1 41 81 121 161 201 241 281 320], [201 121 161], 2, 9, 81, 3, 5.489625e-01, 549, 1, d, NA, novel non-match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 15, 3, 5, [4 5 6 7 8], [1 41 81 121 161 201 241 281 320], [320 1 201 161 121], 2, 5, 121, 7, 8.304875e-01, 830, 1, d, NA, lure
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 16, 4, 7, [2 3 4 5 6 7 8], [1 41 81 121 161 201 241 281 320], [201 281 81 41 241 1 121], 1, 6, 1, 7, 7.591017e-01, 759, 1, s, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 17, 4, 7, [3 4 5 6 7 8 9], [1 41 81 121 161 201 241 281 320], [241 320 121 41 81 1 161], 2, 9, 201, 7, 1.359671e+00, 1360, 1, d, NA, novel non-match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 18, 2, 3, [3 4 5], [1 41 81 121 161 201 241 281 320], [121 241 81], 1, 3, 81, 5, 7.703641e-01, 770, 1, s, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 19, 2, 3, [4 5 6], [1 41 81 121 161 201 241 281 320], [121 1 201], 1, 1, 121, 4, 1.242627e+00, 1243, 1, s, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 20, 2, 3, [5 6 7], [1 41 81 121 161 201 241 281 320], [241 161 281], 1, 1, 241, 5, 5.487597e-01, 549, 1, s, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 21, 4, 7, [1 2 3 4 5 6 7], [1 41 81 121 161 201 241 281 320], [201 1 121 41 81 320 161], 1, 3, 121, 3, 7.656949e-01, 766, 0, d, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 22, 3, 5, [5 6 7 8 9], [1 41 81 121 161 201 241 281 320], [161 320 281 1 81], 1, 4, 1, 8, 1.031249e+00, 1031, 0, d, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 23, 2, 3, [4 5 6], [1 41 81 121 161 201 241 281 320], [201 320 161], 2, 9, 1, 5, 5.517128e-01, 552, 0, s, NA, novel non-match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 24, 1, 1, 7, [1 41 81 121 161 201 241 281 320], 121, 1, 1, 121, 7, 4.335700e-01, 434, 1, s, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 25, 3, 5, [3 4 5 6 7], [1 41 81 121 161 201 241 281 320], [81 121 1 41 241], 1, 4, 41, 6, 7.316241e-01, 732, 0, d, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 26, 1, 1, 1, [1 41 81 121 161 201 241 281 320], 41, 2, 9, 81, 1, 5.889770e-01, 589, 1, d, NA, novel non-match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 27, 3, 5, [2 3 4 5 6], [1 41 81 121 161 201 241 281 320], [1 121 281 320 81], 2, 3, 281, 5, 1.206058e+00, 1206, 0, s, NA, lure
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 28, 3, 5, [5 6 7 8 9], [1 41 81 121 161 201 241 281 320], [121 81 320 161 41], 1, 4, 161, 8, 1.687239e+00, 1687, 0, d, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 29, 4, 7, [1 2 3 4 5 6 7], [1 41 81 121 161 201 241 281 320], [320 1 81 201 41 161 121], 2, 7, 121, 5, 1.360818e+00, 1361, 1, d, NA, lure
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 30, 3, 5, [4 5 6 7 8], [1 41 81 121 161 201 241 281 320], [320 201 41 161 81], 1, 4, 161, 7, 1.330584e+00, 1331, 1, s, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 31, 4, 7, [1 2 3 4 5 6 7], [1 41 81 121 161 201 241 281 320], [81 320 241 201 41 281 161], 1, 5, 41, 5, 1.635298e+00, 1635, 0, d, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 32, 2, 3, [4 5 6], [1 41 81 121 161 201 241 281 320], [41 1 281], 2, 9, 121, 4, 7.729980e-01, 773, 1, d, NA, novel non-match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 33, 4, 7, [2 3 4 5 6 7 8], [1 41 81 121 161 201 241 281 320], [41 1 241 281 201 161 121], 2, 1, 41, 4, 1.005512e+00, 1006, 1, d, NA, lure
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 34, 4, 7, [1 2 3 4 5 6 7], [1 41 81 121 161 201 241 281 320], [201 1 41 81 161 281 320], 2, 9, 241, 7, 8.867650e-01, 887, 1, d, NA, novel non-match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 35, 4, 7, [3 4 5 6 7 8 9], [1 41 81 121 161 201 241 281 320], [320 281 81 161 121 241 1], 1, 5, 121, 7, 1.399946e+00, 1400, 0, d, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 36, 1, 1, 9, [1 41 81 121 161 201 241 281 320], 121, 1, 1, 121, 9, 5.537562e-01, 554, 1, s, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 37, 1, 1, 1, [1 41 81 121 161 201 241 281 320], 241, 1, 1, 241, 1, 4.518139e-01, 452, 1, s, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 38, 4, 7, [3 4 5 6 7 8 9], [1 41 81 121 161 201 241 281 320], [161 121 281 41 81 241 1], 2, 9, 320, 4, 7.653077e-01, 765, 1, d, NA, novel non-match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 39, 3, 5, [5 6 7 8 9], [1 41 81 121 161 201 241 281 320], [201 320 241 1 281], 1, 3, 241, 7, 8.777840e-01, 878, 0, d, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 40, 4, 7, [3 4 5 6 7 8 9], [1 41 81 121 161 201 241 281 320], [161 1 201 281 241 121 41], 2, 2, 1, 5, 1.679189e+00, 1679, 1, d, NA, lure
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 41, 2, 3, [3 4 5], [1 41 81 121 161 201 241 281 320], [161 81 41], 1, 3, 41, 5, 1.152106e+00, 1152, 1, s, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 42, 1, 1, 8, [1 41 81 121 161 201 241 281 320], 241, 2, 9, 281, 8, 4.420690e-01, 442, 1, d, NA, novel non-match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 43, 3, 5, [2 3 4 5 6], [1 41 81 121 161 201 241 281 320], [121 41 320 281 81], 2, 9, 161, 6, 6.749132e-01, 675, 1, d, NA, novel non-match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 44, 4, 7, [1 2 3 4 5 6 7], [1 41 81 121 161 201 241 281 320], [201 320 1 161 41 81 241], 1, 3, 1, 3, 6.600109e-01, 660, 0, d, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 45, 1, 1, 3, [1 41 81 121 161 201 241 281 320], 201, 2, 9, 121, 3, 6.299083e-01, 630, 1, d, NA, novel non-match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 46, 1, 1, 5, [1 41 81 121 161 201 241 281 320], 320, 2, 9, 41, 5, 7.423347e-01, 742, 1, d, NA, novel non-match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 47, 3, 5, [3 4 5 6 7], [1 41 81 121 161 201 241 281 320], [281 121 201 41 320], 2, 3, 201, 3, 9.202350e-01, 920, 1, d, NA, lure
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 48, 1, 1, 7, [1 41 81 121 161 201 241 281 320], 161, 1, 1, 161, 7, 6.091038e-01, 609, 1, s, NA, match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 49, 2, 3, [1 2 3], [1 41 81 121 161 201 241 281 320], [281 201 121], 2, 2, 201, 3, 1.123802e+00, 1124, 0, s, NA, lure
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 50, 3, 5, [2 3 4 5 6], [1 41 81 121 161 201 241 281 320], [121 281 41 1 241], 2, 9, 201, 3, 9.083413e-01, 908, 1, d, NA, novel non-match
103, 2, SUP, Left, 1, SpatialChangeDetection, 1, 51, 2, 3, [2 3 4], [1 41 81 121 161 201 241 281 320], [41 320 201], 1, 3, 201, 4, 7.573754e-01, 757, 1, s, NA, match
