subject, session, target, StimLat, CurrentTask, TaskCondition, block, trial, LoadLevel, SetSize, ShownLocs, AllColors, ShownColors, ProbeMatch, ChosenProbeColor, CorrectProbeColor, ProbeLoc, probert, msecProbeRT, probeACC, response, error, matchCond
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 1, 2, 3, [5 6 7], [1 41 81 121 161 201 241 281 320], [201 121 1], 2, 9, 41, 5, 9.079728e-01, 908, 1, d, NA, novel non-match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 2, 3, 5, [1 2 3 4 5], [1 41 81 121 161 201 241 281 320], [41 81 320 121 281], 1, 1, 41, 1, 1.063496e+00, 1063, 0, d, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 3, 2, 3, [5 6 7], [1 41 81 121 161 201 241 281 320], [241 41 81], 2, 9, 320, 6, 7.771225e-01, 777, 1, d, NA, novel non-match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 4, 4, 7, [1 2 3 4 5 6 7], [1 41 81 121 161 201 241 281 320], [161 201 41 1 241 81 281], 2, 7, 281, 3, 6.819146e-01, 682, 1, d, NA, lure
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 5, 2, 3, [5 6 7], [1 41 81 121 161 201 241 281 320], [320 81 241], 1, 2, 81, 6, 6.841960e-01, 684, 0, d, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 6, 2, 3, [5 6 7], [1 41 81 121 161 201 241 281 320], [320 201 1], 2, 2, 201, 5, 5.889853e-01, 589, 1, d, NA, lure
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 7, 3, 5, [5 6 7 8 9], [1 41 81 121 161 201 241 281 320], [320 81 241 161 201], 1, 4, 161, 8, 1.206025e+00, 1206, 0, d, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 8, 4, 7, [2 3 4 5 6 7 8], [1 41 81 121 161 201 241 281 320], [201 41 121 1 281 320 81], 2, 9, 241, 3, 7.039257e-01, 704, 1, d, NA, novel non-match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 9, 1, 1, 1, [1 41 81 121 161 201 241 281 320], 1, 1, 1, 1, 1, 8.163727e-01, 816, 1, s, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 10, 3, 5, [4 5 6 7 8], [1 41 81 121 161 201 241 281 320], [201 320 1 241 81], 1, 2, 320, 5, 6.888279e-01, 689, 0, d, NA, match
