subject, StimLat, CurrentTask, TaskCondition, chooseSequence, block, trial, ThisITI, SetSize, ShownLocs, AllColors, ShownColors, ProbeType, ProbeMatch, ChosenProbeColor, CorrectProbeColor, correctResp, ProbeLoc, probert, msecProbeRT, probeACC, response, error, scannerStart, runStart, trialStart, stimStart, probeStart, stimFlip, SeqStartTime, Onset, centralJitter, LastITI, matchCond
103, Left, 1, SpatialChangeDetection, 16, 1, 1, 0, 5, [3 4 5 6 7], [1 21 41 61 81 101 121 141 160], [101 21 81 61 141], 1, 1, 5, 141, 1, 7, 7.744076e-01, 774, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634145e+06, 1.634145e+06, 1.634146e+06, 1.634145e+06, 0, 6, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 2, 1, 4, [4 5 6 7], [1 21 41 61 81 101 121 141 160], [41 121 61 141], 1, 1, 2, 121, 1, 5, 8.804109e-01, 880, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634149e+06, 1.634149e+06, 1.634151e+06, 1.634149e+06, 4.500000e+00, 1.050000e+01, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 3, 1, 4, [4 5 6 7], [1 21 41 61 81 101 121 141 160], [121 141 1 61], 1, 2, 9, 21, 2, 5, 9.591083e-01, 959, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634153e+06, 1.634154e+06, 1.634155e+06, 1.634154e+06, 9, 15, 0, 6, novel non-match
103, Left, 1, SpatialChangeDetection, 16, 1, 4, 1, 1, 2, [1 21 41 61 81 101 121 141 160], 21, 1, 1, 1, 21, 1, 2, 8.633261e-01, 863, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634157e+06, 1.634158e+06, 1.634160e+06, 1.634158e+06, 1.350000e+01, 1.950000e+01, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 5, 1, 7, [1 2 3 4 5 6 7], [1 21 41 61 81 101 121 141 160], [101 1 160 21 41 61 121], 1, 1, 5, 41, 1, 5, 1.645432e+00, 1645, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634162e+06, 1.634163e+06, 1.634164e+06, 1.634163e+06, 18, 24, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 6, 1, 4, [6 7 8 9], [1 21 41 61 81 101 121 141 160], [101 1 81 141], 1, 2, 2, 1, 2, 9, 7.962842e-01, 796, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634166e+06, 1.634167e+06, 1.634169e+06, 1.634167e+06, 2.250000e+01, 2.850000e+01, 0, 6, lure
103, Left, 1, SpatialChangeDetection, 16, 1, 7, 1.500000e+00, 3, [5 6 7], [1 21 41 61 81 101 121 141 160], [1 61 141], 1, 2, 3, 141, 2, 6, 8.318247e-01, 832, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634171e+06, 1.634172e+06, 1.634174e+06, 1.634172e+06, 2.750000e+01, 3.350000e+01, 0, 6, lure
103, Left, 1, SpatialChangeDetection, 16, 1, 8, 1.500000e+00, 1, 9, [1 21 41 61 81 101 121 141 160], 81, 1, 1, 1, 81, 1, 9, 6.153527e-01, 615, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634176e+06, 1.634177e+06, 1.634179e+06, 1.634177e+06, 3.250000e+01, 3.850000e+01, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 9, 2.500000e+00, 3, [3 4 5], [1 21 41 61 81 101 121 141 160], [61 21 141], 1, 1, 1, 61, 1, 3, 1.565718e+00, 1566, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634181e+06, 1.634183e+06, 1.634185e+06, 1.634183e+06, 3.850000e+01, 4.450000e+01, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 10, 2, 3, [3 4 5], [1 21 41 61 81 101 121 141 160], [61 121 21], 1, 1, 3, 21, 1, 5, 6.306070e-01, 631, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634187e+06, 1.634189e+06, 1.634190e+06, 1.634189e+06, 44, 50, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 11, 1.500000e+00, 1, 8, [1 21 41 61 81 101 121 141 160], 81, 1, 2, 9, 121, 2, 8, 5.282016e-01, 528, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634192e+06, 1.634194e+06, 1.634195e+06, 1.634194e+06, 49, 55, 0, 6, novel non-match
103, Left, 1, SpatialChangeDetection, 16, 1, 12, 2, 5, [5 6 7 8 9], [1 21 41 61 81 101 121 141 160], [101 61 1 81 41], 1, 1, 2, 61, 1, 6, 1.364596e+00, 1365, 0, 2, NA, 1.634139e+06, 1.634145e+06, 1.634197e+06, 1.634199e+06, 1.634201e+06, 1.634199e+06, 5.450000e+01, 6.050000e+01, 0, 6, match
