SetSize,run,ProbeLoc,probe_before_delay,probe_after_delay,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9
5.0,run01,7.0,141.0,141.0,,,101.0,21.0,81.0,61.0,141.0,,
4.0,run01,5.0,121.0,121.0,,,,41.0,121.0,61.0,141.0,,
4.0,run01,5.0,141.0,21.0,,,,121.0,141.0,1.0,61.0,,
1.0,run01,2.0,21.0,21.0,,21.0,,,,,,,
7.0,run01,5.0,41.0,41.0,101.0,1.0,160.0,21.0,41.0,61.0,121.0,,
4.0,run01,9.0,141.0,1.0,,,,,,101.0,1.0,81.0,141.0
3.0,run01,6.0,61.0,141.0,,,,,1.0,61.0,141.0,,
1.0,run01,9.0,81.0,81.0,,,,,,,,,81.0
3.0,run01,3.0,61.0,61.0,,,61.0,21.0,141.0,,,,
3.0,run01,5.0,21.0,21.0,,,61.0,121.0,21.0,,,,
1.0,run01,8.0,81.0,121.0,,,,,,,,81.0,
5.0,run01,6.0,61.0,61.0,,,,,101.0,61.0,1.0,81.0,41.0
3.0,run01,2.0,1.0,1.0,,1.0,61.0,101.0,,,,,
7.0,run01,2.0,141.0,141.0,21.0,141.0,61.0,1.0,101.0,121.0,160.0,,
3.0,run01,2.0,160.0,160.0,101.0,160.0,41.0,,,,,,
3.0,run01,9.0,61.0,61.0,,,,,,,121.0,101.0,61.0
7.0,run01,4.0,41.0,41.0,101.0,160.0,141.0,41.0,121.0,81.0,1.0,,
3.0,run01,5.0,141.0,141.0,,,,61.0,141.0,1.0,,,
5.0,run01,9.0,1.0,1.0,,,,,21.0,41.0,81.0,61.0,1.0
5.0,run01,4.0,1.0,160.0,,,,1.0,160.0,41.0,101.0,121.0,
3.0,run01,8.0,41.0,41.0,,,,,,160.0,81.0,41.0,
3.0,run01,4.0,21.0,21.0,,,141.0,21.0,81.0,,,,
3.0,run01,1.0,81.0,81.0,81.0,160.0,61.0,,,,,,
1.0,run01,2.0,81.0,121.0,,81.0,,,,,,,
5.0,run01,5.0,81.0,160.0,61.0,41.0,101.0,21.0,81.0,,,,
1.0,run01,4.0,121.0,81.0,,,,121.0,,,,,
1.0,run01,8.0,121.0,160.0,,,,,,,,121.0,
3.0,run01,2.0,101.0,121.0,,101.0,81.0,1.0,,,,,
4.0,run01,7.0,141.0,141.0,,,,,1.0,41.0,141.0,61.0,
1.0,run01,8.0,41.0,121.0,,,,,,,,41.0,
4.0,run01,2.0,160.0,160.0,,160.0,41.0,101.0,1.0,,,,
5.0,run01,5.0,81.0,81.0,,,1.0,21.0,81.0,141.0,101.0,,
7.0,run01,9.0,141.0,101.0,,,61.0,121.0,160.0,41.0,81.0,1.0,141.0
4.0,run01,5.0,160.0,160.0,,,,,160.0,121.0,61.0,81.0,
4.0,run01,8.0,160.0,160.0,,,,,41.0,1.0,101.0,160.0,
