onset	duration	block	counterbalance	ChosenProbeColor	CorrectProbeColor	CurrentTask	LastITI	ProbeLoc	ProbeMatch	ProbeType	SeqStartTime	SetSize	ThisITI	centralJitter	chooseSequence	correctResp	error	msecProbeRT	probeACC	probeStart	probert	response	runStart	scannerStart	stimFlip	stimStart	subject	trialStart
6.0	3.5	1	1	5	141	1	6.0	7	1	1	0.0	5	0.0	0	16	1	None	774.0	1	1634146.0	0.7744076	1	1634145.0	1634139.0	1634145.0	1634145.0	103	1634145.0
10.5	3.5	1	1	2	121	1	6.0	5	1	1	4.5	4	1.0	0	16	1	None	880.0	1	1634151.0	0.8804109	1	1634145.0	1634139.0	1634149.0	1634149.0	103	1634149.0
15.0	3.5	1	1	9	21	1	6.0	5	2	1	9.0	4	1.0	0	16	2	None	959.0	1	1634155.0	0.9591083	2	1634145.0	1634139.0	1634154.0	1634154.0	103	1634153.0
19.5	3.5	1	1	1	21	1	6.0	2	1	1	13.5	1	1.0	0	16	1	None	863.0	1	1634160.0	0.8633261000000001	1	1634145.0	1634139.0	1634158.0	1634158.0	103	1634157.0
24.0	3.5	1	1	5	41	1	6.0	5	1	1	18.0	7	1.0	0	16	1	None	1645.0	1	1634164.0	1.645432	1	1634145.0	1634139.0	1634163.0	1634163.0	103	1634162.0
28.5	3.5	1	1	2	1	1	6.0	9	2	1	22.5	4	1.0	0	16	2	None	796.0	1	1634169.0	0.7962842	2	1634145.0	1634139.0	1634167.0	1634167.0	103	1634166.0
33.5	3.5	1	1	3	141	1	6.0	6	2	1	27.5	3	1.5	0	16	2	None	832.0	1	1634174.0	0.8318247	2	1634145.0	1634139.0	1634172.0	1634172.0	103	1634171.0
38.5	3.5	1	1	1	81	1	6.0	9	1	1	32.5	1	1.5	0	16	1	None	615.0	1	1634179.0	0.6153526999999999	1	1634145.0	1634139.0	1634177.0	1634177.0	103	1634176.0
44.5	3.5	1	1	1	61	1	6.0	3	1	1	38.5	3	2.5	0	16	1	None	1566.0	1	1634185.0	1.565718	1	1634145.0	1634139.0	1634183.0	1634183.0	103	1634181.0
50.0	3.5	1	1	3	21	1	6.0	5	1	1	44.0	3	2.0	0	16	1	None	631.0	1	1634190.0	0.6306069999999999	1	1634145.0	1634139.0	1634189.0	1634189.0	103	1634187.0
55.0	3.5	1	1	9	121	1	6.0	8	2	1	49.0	1	1.5	0	16	2	None	528.0	1	1634195.0	0.5282015999999999	2	1634145.0	1634139.0	1634194.0	1634194.0	103	1634192.0
60.5	3.5	1	1	2	61	1	6.0	6	1	1	54.5	5	2.0	0	16	1	None	1365.0	0	1634201.0	1.364596	2	1634145.0	1634139.0	1634199.0	1634199.0	103	1634197.0
65.0	3.5	1	1	1	1	1	6.0	2	1	1	59.0	3	1.0	0	16	1	None	728.0	1	1634205.0	0.7279326999999999	1	1634145.0	1634139.0	1634204.0	1634204.0	103	1634203.0
71.0	3.5	1	1	2	141	1	6.0	2	1	1	65.0	7	2.5	0	16	1	None	715.0	1	1634211.0	0.7150721	1	1634145.0	1634139.0	1634210.0	1634210.0	103	1634207.0
77.0	3.5	1	1	2	160	1	6.0	2	1	1	71.0	3	2.5	0	16	1	None	653.0	1	1634217.0	0.653418	1	1634145.0	1634139.0	1634216.0	1634216.0	103	1634213.0
83.5	3.5	1	1	3	61	1	6.0	9	1	1	77.5	3	3.0	0	16	1	None	641.0	1	1634224.0	0.6409535	1	1634145.0	1634139.0	1634222.0	1634222.0	103	1634219.0
88.5	3.5	1	1	4	41	1	6.0	4	1	1	82.5	7	1.5	0	16	1	None	1148.0	0	1634229.0	1.1483079999999999	2	1634145.0	1634139.0	1634227.0	1634227.0	103	1634226.0
94.0	3.5	1	1	2	141	1	6.0	5	1	1	88.0	3	2.0	0	16	1	None	1158.0	1	1634234.0	1.158419	1	1634145.0	1634139.0	1634233.0	1634233.0	103	1634231.0
99.0	3.5	1	1	5	1	1	6.0	9	1	1	93.0	5	1.5	0	16	1	None	715.0	1	1634239.0	0.7148072	1	1634145.0	1634139.0	1634238.0	1634238.0	103	1634236.0
104.0	3.5	1	1	2	160	1	6.0	4	2	1	98.0	5	1.5	0	16	2	None	934.0	1	1634244.0	0.9337832	2	1634145.0	1634139.0	1634243.0	1634243.0	103	1634241.0
108.5	3.5	1	1	3	41	1	6.0	8	1	1	102.5	3	1.0	0	16	1	None	1210.0	0	1634249.0	1.210415	2	1634145.0	1634139.0	1634247.0	1634247.0	103	1634246.0
